DESTINATION,VISITS,LATITUDE,LONGITUDE
Quinault WA,2,47.46028,-123.802838
Saba,20,17.633333333333,-63.239444444444
Sint Eustatius,2,17.4826800,-62.9832400
Sint Maarten,15,18.073099,-63.082199
Amsterdam,2,52.379189,4.899431
Paris,1,48.864716,2.349014
Portland OR,15,45.512794,-122.679565
Boise ID,5,43.618881,-116.215019
San Diego CA,30,32.715736,-117.161087
San Francisco CA,20,37.773972,-122.431297
Yellowstone WY,2,44.423691,-110.588516
Costa Rica,1,9.934739,-84.087502	
Minneapolis MN,10,44.986656,-93.258133
Grand Tetons WY,2,43.7904282,-110.68176269999998
Everett WA,25,47.982567,-122.193375
Victoria BC,10,48.428611,-123.365556
Orcas Island WA,5,48.708361,-122.910613
Sydney Australia,1,-33.865143,151.209900
Katoomba Australia,1,-33.71977, 150.30739
Maui HI,4,20.798363,-156.331925
Kauai HI,1,22.108543,-159.496765
Tijuana Mexico,1,32.522499,-117.046623
Miami Beach FL,2,25.761681,-80.191788
San Francisco CA,8,37.773972,-122.431297
San Antonio TX,6,29.424122,-98.493629



